x(mm);doble 1;doble 2;doble 3;doble 4;doble 5;doble 6;izquierda 1;izquierda 2;izquierda 3;izquierda 4;izquierda 5;izquierda 6;derecha 1;derecha 2;derecha 3;derecha 4;derecha 5;derecha 6
1.38;158;164;150;156;156;134;60;70;60;62;68;48;18;18;16;24;22;6
1.39;132;134;136;154;158;142;56;44;74;40;44;68;16;12;16;18;16;16
1.40;126;160;140;150;156;138;62;68;54;50;70;68;10;16;14;22;14;20
1.41;140;144;154;174;136;150;68;48;70;48;58;58;24;22;22;24;28;14
1.42;154;154;132;150;140;176;56;52;62;50;76;58;18;26;18;28;24;24
1.43;150;150;148;154;172;150;56;58;66;64;62;58;14;18;24;30;16;22
1.44;168;152;184;140;158;140;66;42;44;68;58;50;22;20;18;30;32;28
1.45;174;148;162;174;164;162;58;74;76;66;66;46;20;22;16;18;16;20
1.46;158;180;140;172;160;164;58;64;64;60;72;62;24;32;14;16;20;14
1.47;164;176;136;148;180;160;64;66;74;54;52;76;30;24;12;12;24;30
1.48;178;180;150;192;170;180;58;78;68;48;52;60;30;30;22;22;32;18
1.49;154;170;164;158;168;162;70;60;70;62;62;76;22;20;16;30;32;14
1.50;166;178;166;186;138;170;80;60;50;78;54;82;16;34;16;30;28;24
1.51;158;148;164;170;162;176;48;62;66;72;54;80;36;30;16;20;28;28
1.52;160;178;166;136;180;144;66;80;70;58;84;58;30;24;18;26;28;34
1.53;168;160;176;150;142;176;84;74;56;66;62;60;26;20;34;22;12;34
1.54;156;144;138;180;158;166;80;76;72;62;62;58;28;36;14;32;28;20
1.55;152;172;168;150;172;154;60;68;58;52;60;82;10;22;24;32;26;30
1.56;126;162;148;154;158;154;62;60;58;54;88;74;28;24;22;32;22;34
1.57;148;150;134;154;142;144;50;48;74;48;86;66;26;24;32;36;22;26
1.58;136;136;148;136;136;130;56;64;52;50;66;56;34;30;28;22;28;16
1.59;164;152;126;116;160;144;72;66;56;62;62;78;24;24;38;28;26;22
1.60;142;128;124;108;102;132;88;52;60;70;68;74;26;32;34;22;30;36
1.61;118;110;98;144;124;100;72;90;76;88;70;68;26;20;30;24;22;34
1.62;124;92;116;96;130;118;80;82;64;82;80;92;24;32;34;22;24;22
1.63;116;134;96;102;104;110;60;66;68;82;64;78;34;34;18;38;28;34
1.64;104;106;114;128;90;106;78;82;64;76;80;58;42;28;42;38;32;36
1.65;110;108;96;96;102;94;82;70;76;72;70;66;24;36;28;34;32;26
1.66;96;96;94;104;90;76;62;52;70;88;60;64;16;26;24;42;36;40
1.67;76;92;72;80;96;82;60;58;64;64;60;74;36;26;36;22;28;40
1.68;76;74;86;60;86;88;86;76;64;70;82;66;24;28;36;26;30;46
1.69;76;66;72;56;68;90;88;84;78;76;92;74;42;22;32;40;44;20
1.70;52;64;54;70;54;60;84;72;68;86;72;98;36;38;38;40;38;30
1.71;62;52;54;54;66;42;80;68;92;74;70;74;28;26;42;22;22;28
1.72;42;66;44;38;60;60;86;66;84;84;78;70;36;36;38;34;30;34
1.73;40;56;46;42;30;48;96;68;84;68;84;78;36;38;36;32;38;24
1.74;32;34;46;26;32;26;88;84;76;72;62;68;38;34;24;36;40;42
1.75;26;20;32;42;28;30;78;80;62;64;94;94;34;46;28;46;32;30
1.76;22;34;30;30;24;18;82;72;80;80;72;74;40;34;46;40;38;34
1.77;28;22;14;28;24;14;80;76;60;84;94;90;34;38;36;34;26;42
1.78;12;16;22;6;18;16;66;100;84;56;66;60;42;34;36;38;40;46
1.79;14;24;14;22;14;8;80;74;102;90;78;90;40;32;38;34;22;42
1.80;10;14;12;14;18;8;84;80;56;80;96;84;50;36;42;32;50;36
1.81;4;2;6;14;10;10;68;96;74;78;72;96;46;52;40;32;34;52
1.82;6;12;2;12;8;12;76;98;74;64;92;76;34;42;52;28;42;38
